hindi,hinglish
यह मोटा खाना था।,Yeh mota khana tha.
नानी आ रहा है,nani aa raha hai
इसे किताब लेकर आया।,ise kitaab lekar aaya.
यह ज़बरदस्त चाची और वह ज़बरदस्त भाई है।,Yeh zabardast chachi aur woh zabardast bhai hai
यह सबसे अच्छा दादा और वह सबसे अच्छा बहन है।,Yeh sabse accha dada aur woh sabse accha behen hai
यह बुरा पति और वह बुरा ससुर है।,Yeh bura pati aur woh bura sasur hai
वह लेता है,vah leta hai
फर्श रख लीजिए,farsh rakh lijiye
मुझे एक बुरा सिक्योरिटी चाहिए।,mujhe ek bura security chahiye.
वह अमीर औरत था।,Woh amir aurat tha.
स्थान खा लो,sthaan kha lo
वह काला बहन था।,Woh kala behen tha.
मुझे एक लंबा स्क्रीन गार्ड चाहिए।,mujhe ek lamba screen guard chahiye.
यह बेईमान लड़की है।,Yeh beimana ladki hai
नाश्ता देख लो,nashta dekh lo
यह एल्बम खराब है।,Yeh album kharab hai
यह नया नानी है।,Yeh naya nani hai
वह बेवकूफ आदमी होगा।,Woh bewakoof aadmi hoga.
यह यूज़रनेम महंगा है।,Yeh username mahanga hai.
यह अमीर नानी है।,Yeh amir nani hai
तीन घंटे,teen ghante
मुझे एक चौड़ा पोस्ट चाहिए।,mujhe ek chaura post chahiye.
यह सरल खाना था।,Yeh saral khana tha.
बढ़िया काम,badhiya kaam
यह प्राइवेसी बड़ा है।,Yeh privacy bada hai
यह यूट्यूब छोटा है।,Yeh YouTube chhota hai
यह बुरा सास और वह बुरा ताई है।,Yeh bura saas aur woh bura tai hai
वह जवान दुश्मन होगा।,Woh jawan dushman hoga.
यह फाइल अच्छा है।,Yeh file accha hai.
यह ज़बरदस्त ताऊ और वह ज़बरदस्त माँ है।,Yeh zabardast tau aur woh zabardast maa hai
यह फोन छोटा है।,Yeh phone chhota hai
यह खराब नानी है।,Yeh kharab nani hai
वह उत्साहित दोस्त था।,Woh utsaahit dost tha.
यह बेहतर परिवार और वह बेहतर पति है।,Yeh behtar parivar aur woh behtar pati hai
मैं जा रहे हैं,main ja rahe hain
वह लंबा पत्नी होगा।,Woh lamba patni hoga.
दरवाज़ा लेो,darwaza leo
यह रिपोर्ट खराब है।,Yeh report kharab hai
वह गरम यार होगा।,Woh garam yaar hoga.
वह बेकार चाचा होगा।,Woh bekar chacha hoga.
मैं बोली रही है,main boli rahi hai
यह नापसंद बात था।,Yeh napasand baat tha.
क्या हम गया,kya hum gaya
वह ताज़ा परिवार था।,Woh taza parivar tha.
वह सर्च खरीदा,Woh search kharida
मुझे एक पतला पोस्ट चाहिए।,mujhe ek patla post chahiye.
वह खूबसूरत बेटा था।,Woh khoobsurat beta tha.
छत के,chhat ke
यह सिखाते हैं,yah sikhate hain
यह कनेक्शन बेकार है।,Yeh connection bekar hai
मुझे एक सबसे बुरा सब्सक्राइब चाहिए।,mujhe ek sabse bura subscribe chahiye.
यह होशियार बहन है।,Yeh hoshiyar behen hai
ये देखेगा,ye dekhega
वह डरपोक घरवाले था।,Woh darpok gharwale tha.
यह ज़बरदस्त सास और वह ज़बरदस्त दादा है।,Yeh zabardast saas aur woh zabardast dada hai
यह पीला बेटी है।,Yeh peela beti hai
यह ऐप धांसू है।,Yeh app dhansu hai
यह खराब ताई और वह खराब परिवार है।,Yeh kharab tai aur woh kharab parivar hai
वह सबसे अच्छा बूढ़ा था।,Woh sabse accha budha tha.
वह मेहनती दोस्त था।,Woh mehnati dost tha.
यह कमाल का पापा और वह कमाल का सास है।,Yeh kamaal ka papa aur woh kamaal ka saas hai
यह उदास दोस्त है।,Yeh udas dost hai
यह उलझन में लड़की है।,Yeh confused ladki hai
यह धांसू ससुर और वह धांसू नाना है।,Yeh dhansu sasur aur woh dhansu nana hai
मुझे एक खराब पोस्ट चाहिए।,mujhe ek kharab post chahiye.
वह आसान ताऊ होगा।,Woh aasan tau hoga.
यह लिंक्डइन सबसे अच्छा है।,Yeh LinkedIn sabse accha hai
वह कठिन बहन था।,Woh kathin behen tha.
यह पतला माँ है।,Yeh patla maa hai
यह ओटीपी सबसे बुरा है।,Yeh OTP sabse bura hai
ज़बरदस्त गाँव,zabardast gaanv
यह कमज़ोर यार है।,Yeh kamzor yaar hai
तुम लिखती है,tum likhti hai
यह ज़बरदस्त परिवार और वह ज़बरदस्त दादा है।,Yeh zabardast parivar aur woh zabardast dada hai
यह धांसू ताई और वह धांसू पति है।,Yeh dhansu tai aur woh dhansu pati hai
यह वॉइस कॉल छोटा है।,Yeh voice call chhota hai
मैं वह से मिलता है,main vah se milta hai
मेरे पास कई भाई है।,Mere paas kai bhai hai.
मुझे एक लंबा सीज़न चाहिए।,mujhe ek lamba season chahiye.
वह सुरीला भाई था।,Woh surila bhai tha.
वह ख़ास बच्चा था।,Woh khaas bachcha tha.
यह मुश्किल लड़का था।,Yeh mushkil ladka tha.
मुझे एक बड़ा टिकटॉक चाहिए।,mujhe ek bada TikTok chahiye.
हम बताूँगा,hum bataunga
यह स्टिकर सबसे अच्छा है।,Yeh sticker sabse accha hai
यह चैट बड़ा है।,Yeh chat bada hai
यह एडिट अच्छा है।,Yeh edit accha hai.
यह अच्छा घरवाले और वह अच्छा बहन है।,Yeh accha gharwale aur woh accha behen hai
वे बैठेगी,ve baithegi
यह बताती है,yah batati hai
वह सबसे बुरा दोस्त होगा।,Woh sabse bura dost hoga.
मुझे एक कमाल का व्हाट्सएप चाहिए।,mujhe ek kamaal ka WhatsApp chahiye.
मेरे पास बहुत सारे बाइक है।,Mere paas bahut sare bike hai.
वह चलेगी,vah chalegi
घी पी लो,ghi pi lo
मुझे एक बेहतर सिक्योरिटी चाहिए।,mujhe ek behtar security chahiye.
यह उदास चाची है।,Yeh udas chachi hai
यह लाइक सबसे अच्छा है।,Yeh like sabse accha hai
मेरी बोलूँगी,meri bolungi
यह कवर खराब है।,Yeh cover kharab hai
यह कमाल का पत्नी है।,Yeh kamaal ka patni hai
मेरे पास तीन दर्जन है।,Mere paas teen darjan hai.
वह महंगा पति होगा।,Woh mahanga pati hoga.
यह शानदार बहन और वह शानदार पापा है।,Yeh shaandaar behen aur woh shaandaar papa hai
गंदे फल,gande phal
यह वीपीएन साधारण है।,Yeh VPN sadharan hai
मुझे एक अच्छा कनेक्शन चाहिए।,mujhe ek accha connection chahiye.
यह देर खाना होगा।,Yeh der khana hoga.
मुझे एक ख़ास ब्लॉक चाहिए।,mujhe ek khaas block chahiye.
मेरे पास कई मेज है।,Mere paas kai mez hai.
वह डरपोक पत्नी होगा।,Woh darpok patni hoga.
वह खुश है,vah khush hai
यह चार्जर खराब है।,Yeh charger kharab hai
यह बुरा चाची और वह बुरा नानी है।,Yeh bura chachi aur woh bura nani hai
बहुत नाराज़ हूँ।,Bahut naraz hoon.
यह शानदार सास और वह शानदार परिवार है।,Yeh shaandaar saas aur woh shaandaar parivar hai
मेरे पास एक ग्राहक है।,Mere paas ek grahak hai.
मुझे एक शानदार प्रीमियम चाहिए।,mujhe ek shaandaar premium chahiye.
वह खुश पति था।,Woh khush pati tha.
वह हैरान पत्नी होगा।,Woh hairaan patni hoga.
मेरे पास दो चाची है।,Mere paas do chachi hai.
यह लाइक बुरा है।,Yeh like bura hai
यह खराब भाई और वह खराब बेटी है।,Yeh kharab bhai aur woh kharab beti hai
वह दोस्त लेकर आया।,woh dost lekar aaya.
वह छोटा दुश्मन होगा।,Woh chhota dushman hoga.
वह उलझा नानी होगा।,Woh uljha nani hoga.
मुझे एक कमाल का हॉटस्पॉट चाहिए।,mujhe ek kamaal ka hotspot chahiye.
यह बढ़िया कार था।,Yeh badhiya car tha.
यह मेहनती ताऊ है।,Yeh mehnati tau hai
यह ट्रैकिंग चौड़ा है।,Yeh tracking chaura hai
कैसे मैं हो,kaise main ho
कमाल घर,kamaal ghar
उसका गली है,uska gali hai
यह खराब नानी और वह खराब नाना है।,Yeh kharab nani aur woh kharab nana hai
वह महंगा बहन होगा।,Woh mahanga behen hoga.
वह शांत यार था।,Woh shant yaar tha.
यह धांसू पति और वह धांसू ससुर है।,Yeh dhansu pati aur woh dhansu sasur hai
यह गोल सास है।,Yeh gol saas hai
वह अच्छा घरवाले था।,Woh accha gharwale tha.
यह अच्छा पति और वह अच्छा बेटी है।,Yeh accha pati aur woh accha beti hai
यह अच्छा परिवार और वह अच्छा ताई है।,Yeh accha parivar aur woh accha tai hai
यह छोटा चाचा है।,Yeh chhota chacha hai
कैश नहीं है।,Cash nahi hai.
बिस्तर खा लीजिए,bistar kha lijiye
वह सफेद यार होगा।,Woh safed yaar hoga.
वह मूर्ख बेटी होगा।,Woh murkh beti hoga.
मेरे पास बहुत सारे रास्ता है।,Mere paas bahut sare rasta hai.
यह माँ बिक्री हुई।,Yeh maa bikri hui.
वह धुंधला ससुर होगा।,Woh dhundhla sasur hoga.
मुझे एक साधारण सिक्योरिटी चाहिए।,mujhe ek sadharan security chahiye.
वह खूबसूरत औरत होगा।,Woh khoobsurat aurat hoga.
यह कमाल का भाई और वह कमाल का बेटा है।,Yeh kamaal ka bhai aur woh kamaal ka beta hai
यह बढ़िया बेटी और वह बढ़िया नाना है।,Yeh badhiya beti aur woh badhiya nana hai
यह धांसू ताऊ और वह धांसू ससुर है।,Yeh dhansu tau aur woh dhansu sasur hai
वह गरीब बच्चा होगा।,Woh garib bachcha hoga.
ज़रा मदद करो।,Zara madad karo.
यह बुरा चाचा और वह बुरा माँ है।,Yeh bura chacha aur woh bura maa hai
ज़्यादा पानी है,zyada paani hai
तुम नाराज़ है,tum naaraaz hai
मेरे पास दो इश्क़ है।,Mere paas do ishq hai.
वह मोटा दुश्मन होगा।,Woh mota dushman hoga.
वह खूबसूरत लड़की होगा।,Woh khoobsurat ladki hoga.
यह अच्छा दादी और वह अच्छा चाची है।,Yeh accha dadi aur woh accha chachi hai
यह सबसे अच्छा ताऊ और वह सबसे अच्छा बेटी है।,Yeh sabse accha tau aur woh sabse accha beti hai
इसे खिड़की चाहिए,ise khidki chahiye
बेहतरीन गाँव है,behtareen gaanv hai
बुरा सुबह है,bura subah hai
पुराना दरवाज़ा,purana darwaza
यह मोटा लड़की होगा।,Yeh mota ladki hoga.
सर दर्द हो रहा है।,Sar dard ho raha hai
मुझे एक ज़बरदस्त लॉगिन चाहिए।,mujhe ek zabardast login chahiye.
तुमने खाना खाया,tumne khana khaya
यह चौड़ा परिवार है।,Yeh chaura parivar hai
वह धांसू दादा होगा।,Woh dhansu dada hoga.
यह सरल चाचा है।,Yeh saral chacha hai
वह गोल पत्नी था।,Woh gol patni tha.
वह चपटा यार था।,Woh chapta yaar tha.
वह आलसी बूढ़ा था।,Woh aalsi budha tha.
यह मूवी बेहतर है।,Yeh movie behtar hai
यह शानदार नानी और वह शानदार भाई है।,Yeh shaandaar nani aur woh shaandaar bhai hai
यह यूट्यूब शानदार है।,Yeh YouTube shaandaar hai
वह पीला पापा था।,Woh peela papa tha.
यह चपटा खाना था।,Yeh chapta khana tha.
मुझे एक बड़ा पावर बैंक चाहिए।,mujhe ek bada power bank chahiye.
मेहमान जा रहा है,mehmaan jaa raha hai
वह सबसे अच्छा ताई था।,Woh sabse accha tai tha.
वह चमकदार सास होगा।,Woh chamakdar saas hoga.
यह गहरा भाई है।,Yeh gahra bhai hai
घंटा जाएँगे,ghanta jaaenge
वह पी रही है,vah pi rahi hai
उसका बहन खो गया।,uska behen kho gaya.
कैसे वह है?,kaise vah hai?
यह ज़बरदस्त चाचा और वह ज़बरदस्त परिवार है।,Yeh zabardast chacha aur woh zabardast parivar hai
यह मैसेज सस्ता है।,Yeh message sasta hai.
यह लाइक खराब है।,Yeh like kharab hai
खूबसूरत रात है,khoobsurat raat hai
यह बोर बच्ची है।,Yeh bore bachchi hai
मुझे एक शानदार कार्ट चाहिए।,mujhe ek shaandaar cart chahiye.
मुझे एक बड़ा ओटीपी चाहिए।,mujhe ek bada OTP chahiye.
यह लंबा बात था।,Yeh lamba baat tha.
मुझे एक बढ़िया फेसबुक चाहिए।,mujhe ek badhiya Facebook chahiye.
वह बहादुर यार था।,Woh bahadur yaar tha.
वह बूढ़ा बच्चा था।,Woh budha bachcha tha.
साफ़ पानी है,saaf paani hai
रिजल्ट कब आएगा?,Risult kab aayega?
वह नया चाची होगा।,Woh naya chachi hoga.
यह पेज अच्छा है।,Yeh page accha hai
यह क्यूआर कोड सबसे बुरा है।,Yeh QR code sabse bura hai
यह गर्म भाई है।,Yeh garam bhai hai
यह बेकार ताई है।,Yeh bekar tai hai
यह घंटा खरीदा।,Yeh ghanta kharida.
यह रैम गंदा है।,Yeh RAM ganda hai.
आप बहुत धांसू है,aap bahut dhansu hai
वह काला दोस्त होगा।,Woh kala dost hoga.
मेरी हूँ रहा है,meri hoon raha hai
यह अच्छा ससुर और वह अच्छा नाना है।,Yeh accha sasur aur woh accha nana hai
बिस्तर देो,bistar deo
सड़क के पास,sadak ke paas
तुम बैठ रही है,tum baith rahi hai
मुझे एक बुरा ट्विटर चाहिए।,mujhe ek bura Twitter chahiye.
यह पुराना लड़का था।,Yeh purana ladka tha.
छोटा घर,chhota ghar
मुझे एक साधारण केबल चाहिए।,mujhe ek sadharan cable chahiye.
गंदा खिड़की है,ganda khidki hai
तुम सुन रही है,tum sun rahi hai
यह सुंदर चाची है।,Yeh sundar chachi hai
यह यूपीआई चौड़ा है।,Yeh UPI chaura hai
यह टिकटॉक अच्छा है।,Yeh TikTok accha hai
यह आईपी एड्रेस चौड़ा है।,Yeh IP address chaura hai
यह बेहतर ताऊ और वह बेहतर घरवाले है।,Yeh behtar tau aur woh behtar gharwale hai
मेरी की है,meri ki hai
यह ज़बरदस्त पत्नी और वह ज़बरदस्त बहन है।,Yeh zabardast patni aur woh zabardast behen hai
यह सस्ता बात था।,Yeh sasta baat tha.
यह चपटा परिवार है।,Yeh chapta parivar hai
यह चिंतित बहन है।,Yeh chintit behen hai
यह ऑर्डर सबसे बुरा है।,Yeh order sabse bura hai
यह ज़बरदस्त भाई और वह ज़बरदस्त माँ है।,Yeh zabardast bhai aur woh zabardast maa hai
यह अच्छा बेटा और वह अच्छा पत्नी है।,Yeh accha beta aur woh accha patni hai
सुंदर जगह है,sundar jagah hai
तुम महीना आऊँगा,tum mahina aaunga
मैं पूछूँगी,main poochhungi
बहुत गर्मी है।,Bahut garmi hai
वह ईमानदार औरत होगा।,Woh imandar aurat hoga.
यह शानदार चाचा और वह शानदार भाई है।,Yeh shaandaar chacha aur woh shaandaar bhai hai
यह सुरीला चाची है।,Yeh surila chachi hai
वह ख़ास यार होगा।,Woh khaas yaar hoga.
यह ज़बरदस्त ताऊ और वह ज़बरदस्त बहन है।,Yeh zabardast tau aur woh zabardast behen hai
तुझे बैग लेकर आया।,tujhe bag lekar aaya.
यह गंदा बेटा है।,Yeh ganda beta hai
मेरे पास चार धोबी है।,Mere paas chaar dhobi hai.
तुझे गाँव चाहिए,tujhe gaanv chahiye
यह जूते खरीदा।,Yeh jute kharida.
वह गोल भाई होगा।,Woh gol bhai hoga.
यह खुश खाना था।,Yeh khush khana tha.
वह कमज़ोर परिवार था।,Woh kamzor parivar tha.
मुझे एक साधारण वॉलेट चाहिए।,mujhe ek sadharan wallet chahiye.
मुझे एक बुरा ओटीपी चाहिए।,mujhe ek bura OTP chahiye.
मुझे एक पतला ऑर्डर चाहिए।,mujhe ek patla order chahiye.
यह बेहतर नाना और वह बेहतर पत्नी है।,Yeh behtar nana aur woh behtar patni hai
यह अच्छा दादी और वह अच्छा पत्नी है।,Yeh accha dadi aur woh accha patni hai
वह नीचा परिवार होगा।,Woh neecha parivar hoga.
यह ताज़ा घरवाले है।,Yeh taza gharwale hai
वे जाेगी,ve jaegi
यह चम्मच खरीदा।,Yeh chammach kharida.
समय लेो,samay leo
बुरा खिड़की है,bura khidki hai
यह फेसबुक धांसू है।,Yeh Facebook dhansu hai
देश के पास,desh ke paas
यह ज़बरदस्त पत्नी और वह ज़बरदस्त दादी है।,Yeh zabardast patni aur woh zabardast dadi hai
मैं कमाल है,main kamaal hai
यह सबसे अच्छा बहन और वह सबसे अच्छा नानी है।,Yeh sabse accha behen aur woh sabse accha nani hai
धीमा फल,dheema phal
यह धांसू बेटा और वह धांसू ससुर है।,Yeh dhansu beta aur woh dhansu sasur hai
वह बेवकूफ पापा होगा।,Woh bewakoof papa hoga.
मेरे पास चार रेडियो है।,Mere paas chaar radio hai.
किधर कर रहे हो?,kidhar kar rahe ho?
पानी ज़्यादा पियो।,Pani zyada piyo.
यह मेहनती पति है।,Yeh mehnati pati hai
यह उथला दादा है।,Yeh uthla dada hai
यह ज़बरदस्त परिवार और वह ज़बरदस्त दादी है।,Yeh zabardast parivar aur woh zabardast dadi hai
यह वॉलेट चौड़ा है।,Yeh wallet chaura hai
यह फोटो कमाल का है।,Yeh photo kamaal ka hai
वह पुराना दादा था।,Woh purana dada tha.
यह मीम बुरा है।,Yeh meme bura hai
यह अच्छा पत्नी और वह अच्छा बेटी है।,Yeh accha patni aur woh accha beti hai
वह ईमानदार ससुर होगा।,Woh imandar sasur hoga.
नयी सड़क,nayi sadak
वह कमज़ोर चाचा होगा।,Woh kamzor chacha hoga.
यह सफेद काम है।,Yeh safed kaam hai.
यह अकाउंट पुराना है।,Yeh account purana hai.
मेरे पास बहुत सारे टीवी है।,Mere paas bahut sare TV hai.
वह लाल बेटा था।,Woh laal beta tha.
वह ख़ास भाई था।,Woh khaas bhai tha.
यह ख़ास पत्नी है।,Yeh khaas patni hai
यह ताज़ा ताई है।,Yeh taza tai hai
यह ज़बरदस्त ताई और वह ज़बरदस्त पापा है।,Yeh zabardast tai aur woh zabardast papa hai
वह मज़बूत बेटा होगा।,Woh mazboot beta hoga.
मुझे एक धांसू आईपैड चाहिए।,mujhe ek dhansu iPad chahiye.
वह कीमती नानी होगा।,Woh qimati nani hoga.
यह चमकदार लड़का है।,Yeh chamakdar ladka hai
वह कोमल बेटा होगा।,Woh komal beta hoga.
वह बर्फ़ीला नानी था।,Woh barfila nani tha.
यह ज़बरदस्त लड़की है।,Yeh zabardast ladki hai
यह सबसे अच्छा घरवाले और वह सबसे अच्छा बेटा है।,Yeh sabse accha gharwale aur woh sabse accha beta hai
यह यूज़रनेम फालतू है।,Yeh username faltu hai
यह चांदी कार होगा।,Yeh chandi car hoga.
छोटा सुबह,chhota subah
मुझे एक बेहतर सब्सक्रिप्शन चाहिए।,mujhe ek behtar subscription chahiye.
यह बढ़िया चाचा और वह बढ़िया दादी है।,Yeh badhiya chacha aur woh badhiya dadi hai
साफ़ स्थान है,saaf sthaan hai
साल खत्म हो गया।,Saal khatm ho gaya.
मुझे एक साधारण मॉनिटर चाहिए।,mujhe ek sadharan monitor chahiye.
यह सबसे अच्छा ताई और वह सबसे अच्छा सास है।,Yeh sabse accha tai aur woh sabse accha saas hai
यह अपलोड बेहतर है।,Yeh upload behtar hai
मुझे एक अच्छा सेल्फी चाहिए।,mujhe ek accha selfie chahiye.
वह परेशान नानी होगा।,Woh pareshan nani hoga.
वह गरम पति होगा।,Woh garam pati hoga.
मुझे एक शानदार वेबसाइट चाहिए।,mujhe ek shaandaar website chahiye.
यह वेरिफिकेशन बेकार है।,Yeh verification bekar hai
मुझे एक बढ़िया एप्लिकेशन चाहिए।,mujhe ek badhiya application chahiye.
वह बैठेगा,vah baithega
यह खराब माँ और वह खराब परिवार है।,Yeh kharab maa aur woh kharab parivar hai
वह गरम बच्चा था।,Woh garam bachcha tha.
तुम लिखेगा,tum likhega
यह साइन अप कमाल का है।,Yeh sign up kamaal ka hai
वह गरीब पापा होगा।,Woh garib papa hoga.
यह छोटा भाई है।,Yeh chhota bhai hai
ये आया,ye aaya
यह धांसू ताई और वह धांसू बहन है।,Yeh dhansu tai aur woh dhansu behen hai
यह बुरा बहन और वह बुरा माँ है।,Yeh bura behen aur woh bura maa hai
वह बूढ़ा चाचा होगा।,Woh budha chacha hoga.
वह लिखता है,vah likhta hai
यह स्ट्रीमिंग साधारण है।,Yeh streaming sadharan hai
उन्हें कमरा चाहिए,unhein kamra chahiye
यह आलसी माँ है।,Yeh aalsi maa hai
यह लंबा खाना होगा।,Yeh lamba khana hoga.
बड़ा समय,bada samay
वह अभी का नानी था।,Woh abhi ka nani tha.
तेरी बैग पसंद है।,teri bag pasand hai.
यह अच्छा पापा और वह अच्छा ताई है।,Yeh accha papa aur woh accha tai hai
हम पीेगा,hum piega
मेरे पास तीन मां है।,Mere paas teen maa hai.
यह जिफ छोटा है।,Yeh GIF chhota hai
यह यूपीआई बेकार है।,Yeh UPI bekar hai
यह प्रोफाइल सबसे अच्छा है।,Yeh profile sabse accha hai
तुम बड़ा है,tum bada hai
पुराना कुर्सी है,purana kursi hai
वह बढ़िया नानी था।,Woh badhiya nani tha.
नमक खा लीजिए,namak kha lijiye
डॉक्यूमेंट जमा कर दें।,Document jama kar dein.
यह पासवर्ड चौड़ा है।,Yeh password chaura hai
वह मूर्ख आदमी था।,Woh murkh aadmi tha.
मेरा नाना कहाँ है?,mera nana kahan hai?
